algorithm;timed out;problem instance;filename;max degree;number of colors;number of disconnected components;number of nodes;number of uncontrollable nodes;target density;target unary tightness;true average density;true average unary tightness;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;graphColoring_1578338238776;GraphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;62;8;1903;417;1;0;0
DPOP;0;graphColoring_1578338240088;GraphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;63;16;3808;417;1;0;0
DPOP;0;graphColoring_1578338241348;GraphColoring.xml;2;3;1;5;0;0.4;0.0;0.4;0.0;0;114;36;7824;417;1;0;0
DPOP;0;graphColoring_1578338242954;GraphColoring.xml;4;3;1;6;0;0.4;0.0;0.4;0.0;0;94;44;10980;475;2;0;0
DPOP;0;graphColoring_1578338244550;GraphColoring.xml;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;79;56;14441;477;2;0;0
DPOP;0;graphColoring_1578338246016;GraphColoring.xml;5;3;2;8;0;0.4;0.0;0.39285714285714285;0.0;0;81;69;19236;730;3;0;0
DPOP;0;graphColoring_1578338247621;GraphColoring.xml;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;98;88;24240;730;3;infinity;infinity
DPOP;0;graphColoring_1578338249239;GraphColoring.xml;6;3;1;10;0;0.4;0.0;0.4;0.0;0;135;108;33696;1401;4;infinity;infinity
DPOP;0;graphColoring_1578338251085;GraphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;62;8;1903;417;1;0;0
DPOP;0;graphColoring_1578338252450;GraphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;59;16;3810;417;1;0;0
DPOP;0;graphColoring_1578338253813;GraphColoring.xml;3;3;2;5;0;0.4;0.0;0.4;0.0;0;93;28;7163;477;2;0;0
DPOP;0;graphColoring_1578338255374;GraphColoring.xml;4;3;2;6;0;0.4;0.0;0.4;0.0;0;67;40;10520;477;2;0;0
DPOP;0;graphColoring_1578338256815;GraphColoring.xml;3;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;87;59;14585;477;2;0;0
DPOP;0;graphColoring_1578338258435;GraphColoring.xml;6;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;90;72;19141;477;2;0;0
DPOP;0;graphColoring_1578338260085;GraphColoring.xml;5;3;2;9;0;0.4;0.0;0.3888888888888889;0.0;0;77;84;23798;680;3;0;0
DPOP;0;graphColoring_1578338261690;GraphColoring.xml;5;3;1;10;0;0.4;0.0;0.4;0.0;0;108;109;31279;682;3;infinity;infinity
DPOP;0;graphColoring_1578338263350;GraphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;61;8;1903;417;1;0;0
