algorithm;timed out;problem instance;filename;max degree;number of colors;number of disconnected components;number of nodes;number of uncontrollable nodes;target density;target unary tightness;true average density;true average unary tightness;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;graphColoring_1578338553687;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;37;8;1901;417;1;0;0
DPOP;0;graphColoring_1578338554140;graphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;31;16;3810;417;1;0;0
DPOP;0;graphColoring_1578338554638;graphColoring.xml;2;3;1;5;0;0.4;0.0;0.4;0.0;0;39;33;7664;417;1;0;0
DPOP;0;graphColoring_1578338555170;graphColoring.xml;3;3;1;6;0;0.4;0.0;0.4;0.0;0;37;45;11017;475;2;0;0
DPOP;0;graphColoring_1578338555716;graphColoring.xml;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;36;57;14613;680;3;0;0
DPOP;0;graphColoring_1578338556294;graphColoring.xml;6;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;42;72;19474;680;3;0;0
DPOP;0;graphColoring_1578338574469;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;31;8;1903;417;1;0;0
DPOP;0;graphColoring_1578338574937;graphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;35;16;3806;417;1;0;0
DPOP;0;graphColoring_1578338575437;graphColoring.xml;3;3;2;5;0;0.4;0.0;0.4;0.0;0;36;28;7165;475;2;0;0
DPOP;0;graphColoring_1578338576015;graphColoring.xml;3;3;1;6;0;0.4;0.0;0.4;0.0;0;39;45;11137;477;2;0;0
DPOP;0;graphColoring_1578338576624;graphColoring.xml;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;44;56;14453;477;2;0;0
DPOP;0;graphColoring_1578338577265;graphColoring.xml;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;40;72;19368;475;2;0;0
DPOP;0;graphColoring_1578338577858;graphColoring.xml;5;3;2;9;0;0.4;0.0;0.3888888888888889;0.0;0;43;84;25166;1305;4;infinity;infinity
DPOP;0;graphColoring_1578338578561;graphColoring.xml;6;3;1;10;0;0.4;0.0;0.4;0.0;0;42;108;30666;682;3;infinity;infinity
DPOP;0;graphColoring_1578338579311;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;32;8;1903;417;1;0;0
DPOP;0;graphColoring_1578338579780;graphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;34;16;3808;417;1;0;0
DPOP;0;graphColoring_1578338580280;graphColoring.xml;2;3;1;5;0;0.4;0.0;0.4;0.0;0;45;36;7820;417;1;0;0
DPOP;0;graphColoring_1578338580811;graphColoring.xml;4;3;1;6;0;0.4;0.0;0.4;0.0;0;39;44;10978;477;2;0;0
DPOP;0;graphColoring_1578338581389;graphColoring.xml;3;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;42;58;14785;477;2;0;0
DPOP;0;graphColoring_1578338582030;graphColoring.xml;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;45;73;19313;477;2;0;0
DPOP;0;graphColoring_1578338582749;graphColoring.xml;6;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;49;88;24556;730;3;0;0
DPOP;0;graphColoring_1578338583390;graphColoring.xml;7;3;1;10;0;0.4;0.0;0.4;0.0;0;43;108;30909;682;3;0;0
DPOP;0;graphColoring_1578338584061;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;31;8;1903;417;1;0;0
DPOP;0;graphColoring_1578338584545;graphColoring.xml;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;24;16;3804;417;1;0;0
DPOP;0;graphColoring_1578338585045;graphColoring.xml;2;3;1;5;0;0.4;0.0;0.4;0.0;0;42;33;7670;417;1;0;0
DPOP;0;graphColoring_1578338585592;graphColoring.xml;4;3;1;6;0;0.4;0.0;0.4;0.0;0;45;44;10980;475;2;0;0
DPOP;0;graphColoring_1578338586201;graphColoring.xml;4;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;35;52;13997;477;2;0;0
